,,3M,Caterpiller,AM International,Yoyodyne,Boeing,IBM,AT&T Technologies,Acme Bank,Bank of the West
2.13,Does your organization conduct independent and unannounced on-site or remote audits of its suppliers for modern slavery risks?,"Nisi pretium euismod risus, massa torquent vitae.",Ullamcorper tempus quam dictumst mi; ridiculus aptent.,Vivamus nostra velit iaculis pulvinar sociosqu proin quam.,Consectetur erat molestie euismod lectus ad feugiat natoque.,Nam eget semper adipiscing odio consequat duis dis gravida pharetra.,Finibus tellus habitant penatibus lacinia id ligula tempus.,Nec vivamus ultrices mus auctor rhoncus nibh.,Ad pretium velit ornare augue in augue magna.,Praesent fringilla lobortis dapibus elementum consequat.
2.14,Does your organization require that its suppliers adopt company-wide standards on slavery and human trafficking for their employees and contractors?,Augue mattis natoque interdum faucibus potenti quisque venenatis.,Sodales litora libero et tortor in.,"Ultricies accumsan nostra ex nullam, vitae porttitor ante mattis quam.",Sit commodo vel nostra gravida sit.,Imperdiet class nisl id himenaeos ac.,Interdum mi maecenas praesent platea justo inceptos litora.,"Litora euismod venenatis mauris nunc, duis id habitant lacinia.",Quam id netus massa tempor accumsan lacus sodales ligula.,Et duis consequat rhoncus sit conubia magna rutrum.
2.15,"Does your organization have accountability standards and procedures in place to hold its suppliers accountable for non-compliance with your organization’s standards on slavery and human trafficking (e.g., remediation requirements)?",Ultricies netus dignissim efficitur turpis aenean sodales consectetur.,Facilisi pretium penatibus potenti torquent consequat.,Integer orci consectetur non fusce pulvinar tincidunt orci.,Senectus pharetra porttitor elementum sociosqu purus.,Inceptos dolor potenti; venenatis praesent mi viverra velit dignissim senectus.,Cubilia augue pulvinar sagittis penatibus turpis penatibus velit porta suscipit.,Porta netus enim maximus aptent consequat praesent sem eleifend.,Fusce primis platea nam per sapien tellus augue parturient.,Eget magna volutpat semper consectetur phasellus.
2.2,"Is your organization aware of any instances of suspected slavery, servitude, forced or compulsory labor, and/or human trafficking in any part of the organization’s supply chain in the past 24 months?",Tortor taciti dignissim maecenas pretium vel elementum aliquet.,"Hendrerit eleifend praesent ultrices dolor habitasse est, scelerisque litora.",Nascetur malesuada aliquet lorem porta platea fringilla convallis.,Fames condimentum leo nascetur vel auctor quis.,"Sollicitudin blandit inceptos eros nullam, rhoncus interdum lorem.",Penatibus eleifend inceptos adipiscing gravida diam platea.,Arcu eros interdum cubilia torquent ultricies dignissim lacinia.,Interdum dapibus leo laoreet iaculis feugiat.,Libero erat per quisque quam semper neque vestibulum.
2.3,"Does your organization currently have, or have had in the past 24 months, any direct or indirect suppliers with operations or workers, whether employees or contract workers, in any of the following 10 Countries? North Korea Eritrea Burundi Central African Republic Afghanistan Mauritania South Sudan Pakistan Cambodia Iran",At interdum nibh arcu habitant suspendisse feugiat arcu.,Tellus aliquam aptent in tellus dictum non.,Cursus convallis consectetur nullam blandit rhoncus quam conubia.,Laoreet volutpat mattis penatibus consectetur ultricies egestas volutpat gravida.,Mattis aliquam sed nec varius etiam mollis tincidunt? Gravida risus orci rutrum hendrerit augue conubia arcu nisl.,Facilisis rhoncus lobortis quis lacinia elementum viverra ad felis.,Orci orci interdum cubilia pharetra conubia metus ullamcorper.,Sit feugiat leo dui non congue sed.,Mollis vitae orci erat ullamcorper magnis vivamus pharetra velit fames.
2.4,"Does your organization currently have, or have had in the past 24 months, any direct or indirect suppliers with operations or workers, whether employees or contract workers, any of the countries where the risks of modern slavery and human trafficking are high? See the attached reference file for the list of countries",Nostra urna felis mus praesent vel vitae ac mus.,Ipsum vitae placerat eget taciti dictum nisi mus venenatis.,Eget per ultrices porttitor urna fusce viverra.,Quisque sed egestas arcu ultrices; suspendisse phasellus.,Aenean integer nisl himenaeos vel etiam tortor.,Quam malesuada torquent ultricies morbi cubilia? Varius sapien suscipit posuere fermentum dapibus id parturient.,Tincidunt lorem dignissim phasellus montes facilisis vel nullam lobortis.,Pharetra pretium felis elementum cursus parturient non vitae feugiat.,Acursus magna dui justo nibh vulputate sodales montes sapien.
2.5,"If your organization discovered that any of its suppliers or sub-suppliers used slave labor, forced or compulsory labor, and/or trafficked labor within their work force (or within their own supply chain), would your organization cease to use that supplier (or seek for your organization’s supplier to cease using their sub-supplier)?",Sollicitudin tempus condimentum pulvinar mus felis habitant ut.,At nulla placerat nisi purus orci.,"Praesent sapien urna lorem purus, finibus sociosqu ullamcorper aenean.",Vivamus pellentesque fames platea purus dui.,Sem nec ipsum varius ridiculus; vestibulum enim ultricies.,Vivamus ex magnis euismod finibus nostra id molestie facilisis.,Non interdum eleifend venenatis purus cras.,Facilisi consequat dui cursus pellentesque venenatis ipsum ut.,Netus lacus nibh malesuada mus morbi lacinia erat condimentum.
2.6,Has your organization mapped its supply chain in the past 24 months to determine (1) what countries it sources from and what products or services it buys from suppliers in these countries and (2) assessed the resulting modern slavery risks related to sourcing from those countries for those specific products or services?,Habitasse nunc purus per tellus nascetur.,Elementum maximus viverra habitasse senectus rhoncus scelerisque.,Eros fermentum venenatis tortor accumsan rutrum.,Platea ligula diam facilisi class nec fringilla tempor vestibulum.,Ac enim leo penatibus torquent nisl venenatis sodales inceptos.,Mus purus praesent finibus dignissim nostra quam lacus nunc.,Taciti potenti consectetur molestie auctor proin phasellus non.,Consequat suspendisse primis ligula; amet ultrices lacinia.,Ante hendrerit class erat hac semper nam.
2.7,"Has your organization undertaken any due diligence in the past 24 months to assess whether or not slavery, servitude, forced or compulsory labor and/or human trafficking exists in your supply chain?",Porta cursus vehicula velit inceptos non malesuada viverra purus suscipit.,Commodo sit condimentum dis et ligula.,Imperdiet porttitor libero egestas feugiat ac nostra et hac.,Potenti sit natoque; hendrerit facilisis dolor magnis felis.,Semper eros mi pulvinar hac imperdiet turpis bibendum curae nisi.,Ut primis natoque vitae class dui.,Aliquam scelerisque in laoreet suspendisse lobortis sociosqu dui justo.,Penatibus tempor libero tellus nec auctor blandit ullamcorper dis.,Id nascetur fusce justo ipsum donec consequat lacinia.
2.8,"Does your organization conduct due diligence checks in the selection of suppliers to establish their credibility, legitimacy, and ability to manage modern slavery risks in your suppliers?",Non ultricies luctus dictum cras ad penatibus neque quisque.,Ultrices hac etiam vitae quam fermentum; inceptos vel? Magnis pretium metus libero varius fringilla mattis eleifend dapibus congue.,"Sapien egestas nostra netus, ipsum hac facilisi aliquet ac.",Vestibulum ut porta ultricies facilisis in parturient hendrerit natoque.,Cubilia finibus cras integer platea fermentum primis id enim.,Hendrerit rutrum ad vehicula iaculis aliquam mus class nullam.,Dignissim augue nisl laoreet sed odio eros finibus magnis.,Ac imperdiet libero vitae id magnis primis libero phasellus.,Dolor sociosqu vehicula amet nascetur lacinia est nisl aenean netus.
2.9,"Does your organization include provisions regarding slavery, forced labor, and other forms of worker exploitation in its contracts with suppliers?",Luctus habitasse pulvinar conubia senectus vulputate torquent.,Lobortis ac fusce dui ex porta faucibus; inceptos est.,Faucibus quam posuere phasellus nec fusce aliquam nibh.,Magnis hac sodales ridiculus nulla maecenas lectus lobortis parturient per.,Lobortis nulla interdum metus varius; quis neque commodo et.,Efficitur lobortis pharetra lobortis eu sed.,Blandit venenatis praesent sodales etiam vestibulum at ultrices.,Faucibus mus scelerisque fames amet iaculis ac.,Lacus quisque in litora suspendisse est odio.
